Directory,Precision,Recall,F1,Average scores
../3.LLM Model/LLM Summaries/Selected_LLM_Models_PYPDF2/deepseek-llm/deepseek-llmfinal/,0.6425017813841502,0.5873646756013234,0.6128965129454931,0.6142543233103223
../3.LLM Model/LLM Summaries/Selected_LLM_Models_PYPDF2/gemma/gemmafinal/,0.6020369162162145,0.5273109431068103,0.560504087805748,0.5632839823762575
../3.LLM Model/LLM Summaries/Selected_LLM_Models_PYPDF2/gemma2/gemma2final/,0.6001564816633861,0.5734097564220428,0.5861251779397328,0.5865638053417205
../3.LLM Model/LLM Summaries/Selected_LLM_Models_PYPDF2/llama3/llama3final/,0.6235698091983795,0.5759346691767374,0.5983587710062662,0.5992877497937944
../3.LLM Model/LLM Summaries/Selected_LLM_Models_PYPDF2/llama3.1/llama3.1final/,0.6060032566388448,0.5598282217979431,0.5815782616535823,0.5824699133634567
../3.LLM Model/LLM Summaries/Selected_LLM_Models_PYPDF2/mistral/mistralfinal/,0.6225391715102726,0.567566886511114,0.5895509936412175,0.593219017220868
../3.LLM Model/LLM Summaries/Selected_LLM_Models_PYPDF2/qwen/qwenfinal/,0.5929339567820231,0.5221428970495859,0.5539124608039856,0.5563297715451982
../3.LLM Model/LLM Summaries/Selected_LLM_Models_PYPDF2/solar/solarfinal/,0.6181487556298574,0.5664789479970932,0.5903969466686249,0.5916748834318585
../3.LLM Model/LLM Summaries/Selected_LLM_Models_PYPDF2/xwinlm/xwinlmfinal/,0.632062465330911,0.5896654194782651,0.608228142252044,0.60998534235374
